Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Streams,Popularity
213200,4,0.654,0.731,10,-4.767,0,0.0568,0.0419,0,0.122,0.59,104.002,122179309,61
278573,4,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,,76
250666,3,0.729,0.658,10,-3.386,0,0.225,0.0506,0,0.0693,0.551,140.043,,74
264946,4,0.841,0.522,10,-5.963,0,0.049,0.0168,1.37E-06,0.188,0.616,99.059,574916284,74
260640,4,0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,1049706063,76
229866,4,0.846,0.482,1,-6.721,0,0.129,0.0246,0,0.393,0.212,100.969,,73
167813,4,0.803,0.79,1,-4.353,1,0.125,0.00863,0,0.0441,0.712,94.982,,57
252120,4,0.662,0.693,3,-4.298,1,0.0698,0.134,0,0.145,0.655,86.009,,75
241666,4,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16E-06,0.0934,0.7,130,,67
238070,4,0.57,0.512,0,-6.725,1,0.0518,0.0715,8.42E-05,0.1,0.295,82.568,,49
37306,4,0.66,0.334,4,-12.621,1,0.879,0.452,0,0.335,0.418,88.774,,0
159244,4,0.669,0.55,4,-5.352,0,0.108,0.203,0,0.127,0.133,79.99,,55
216507,3,0.401,0.749,3,-2.341,0,0.17,0.322,0.000161,0.117,0.474,177.165,,65
241624,3,0.587,0.447,8,-6.765,1,0.0641,0.698,0,0.113,0.315,124.669,,65
197958,4,0.508,0.689,1,-3.265,0,0.0764,0.137,0,0.18,0.528,79.907,,51
239346,4,0.62,0.507,1,-5.891,1,0.0307,0.111,0,0.101,0.266,120.065,,74
221520,4,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79E-05,0.11,0.274,84.08,,67
257079,4,0.539,0.786,6,-4.884,1,0.0269,0.00228,1.79E-05,0.121,0.503,88.969,,53
156200,4,0.588,0.807,2,-3.426,1,0.0283,0.0835,0,0.109,0.674,110.014,235063301,75
229120,4,0.596,0.58,2,-6.318,1,0.0229,0.257,0.000102,0.196,0.409,93.979,,50
260466,3,0.358,0.358,6,-7.18,1,0.0307,0.566,0.000232,0.104,0.158,134.629,,63
213306,4,0.443,0.538,1,-5.477,1,0.0309,0.327,4.61E-05,0.0866,0.245,157.97,,63
211413,4,0.512,0.709,2,-5.766,1,0.0329,0.0415,4.25E-06,0.107,0.261,97.981,,69
224213,4,0.501,0.815,1,-4.865,1,0.0436,0.0513,0,0.106,0.46,160.087,,73
